"ComputerName","AppID","AppName","Publisher","Version"
"UDRTSS114","Autodesk Design Review 2011","Autodesk Design Review 2011","Autodesk, Inc.","11.0.0.86"
"UDRTSS114","CCStorage","Veritas CommandCentral(TM) 5.2 from Symantec","Symantec Corporation","5.2.473.0"
"UDRTSS114","Citrix AMC Uninstaller","Citrix Delivery Services Console - Framework","Citrix Systems, Inc.","5.0.2.0"
"UDRTSS114","Citrix XenApp 5.0","Citrix XenApp 5.0","Citrix Systems, Inc.","5.0.0.0"
"UDRTSS114","LiveUpdate","LiveUpdate 3.3 (Symantec Corporation)","Symantec Corporation","3.3.0.102"
"UDRTSS114","Microsoft Report Viewer Redistributable 2008","Microsoft Report Viewer Redistributable 2008","Microsoft Corporation",
"UDRTSS114","Microsoft Visual Studio 2005 Tools for Applications - ENU","Microsoft Visual Studio 2005 Tools for Applications - ENU","Microsoft Corporation",
"UDRTSS114","Office14.PROPLUS","Microsoft Office Professional Plus 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","Office14.VISIO","Microsoft Visio Professional 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{012D26C3-E12A-3BDA-8ECE-DF14E721A507}","Microsoft Visual Studio 2010 Shell (Integrated) - ENU","Microsoft Corporation","10.0.40219"
"UDRTSS114","{04835CFB-0DF4-45D3-94BF-69E57E332681}","Citrix Access Management Console - Hotfix Management","Citrix Systems","5.0.1.0"
"UDRTSS114","{050250AA-EB30-456C-BD4D-BE70BF723F4A}","Office Outlook Addin 4.0.0","ExxonMobil","4.0.0"
"UDRTSS114","{07290B53-F72E-4CB8-A4E4-335FC4B92E84}","Meridium APM Framework","Meridium, Inc.","3.6.0"
"UDRTSS114","{0941A719-CA2B-4C56-BFD6-EC0B5768A5FE}","Citrix Access Management Console - Report Center","Citrix Systems","5.0.1.0"
"UDRTSS114","{0B92E3F9-08C1-4B63-BDDE-FC10E9FC64EE}","Flash Player 11.7.700.202","ExxonMobil","11.7.700.202"
"UDRTSS114","{191A6F65-6878-398D-A272-EF011B80F371}","Microsoft Visual Studio Tools for Applications x86 Runtime 3.0","Microsoft Corporation","10.0.40220"
"UDRTSS114","{199B7F78-69B7-47C5-8D4B-A3ED1391FB6B}","Forefront TMG Client 2010_C","Microsoft Corporation","7.0.7734"
"UDRTSS114","{1F1C2DFC-2D24-3E06-BCB8-725134ADF989}","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","Microsoft Corporation","9.0.30729.4148"
"UDRTSS114","{2609EDF1-34C4-4B03-B634-55F3B3BC4931}","Configuration Manager Client","Microsoft Corporation","4.00.6487.2000"
"UDRTSS114","{2A4415A3-BCC7-4136-B036-8B63CA5EAD21}","Lotus Notes Client 7.0","ExxonMobil","7.0.3"
"UDRTSS114","{2B0E325B-69E6-4663-AF5F-3F1AA3368AD3}","Citrix Delivery Services Console - Framework","Citrix Systems, Inc.","5.0.2.0"
"UDRTSS114","{2C52AA7A-9445-4788-8605-51DEA1A6F387}","Microsoft PowerPoint 2010 Interactive Guide","Microsoft","1.2.1"
"UDRTSS114","{2EA870FA-585F-4187-903D-CB9FFD21E2E0}","DHTML Editing Component","Microsoft Corporation","6.02.0001"
"UDRTSS114","{3B1979D5-7207-4849-A339-3B2BDA1673C1}","XenApp Reports","Citrix Systems","5.0.1.0"
"UDRTSS114","{3B6B4118-5932-4874-BA5B-199E1B14E333}","Winzip 9.0 SR1","ExxonMobil","9.0"
"UDRTSS114","{43F71BAA-105A-499E-998C-01143577C8FA}","XenApp Advanced Configuration","Citrix Systems, Inc.","5.0.0"
"UDRTSS114","{4B88625F-431C-458F-A15B-3814A9802DD3}","PowerPointAddInSetup","Microsoft","1.0.0"
"UDRTSS114","{559D37E0-5640-4432-8356-8B2150904778}","SAPgui 7.20C3","ExxonMobil","7.20.3"
"UDRTSS114","{5A03C202-08B4-3F1D-9A60-A4F53EF1B636}","Microsoft Visual Studio Tools for Applications Design-Time 3.0","Microsoft Corporation","10.0.40220"
"UDRTSS114","{5C47C8B6-77FF-4FC7-A388-66FCF9CFC24C}","Snagit 9.0","TechSmith.com","9.0"
"UDRTSS114","{5D9ED403-94DE-3BA0-B1D6-71F4BDA412E6}","Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219","Microsoft Corporation","10.0.40219"
