"ComputerName","AppID","AppName","Publisher","Version"
"UDRTSS114","CmdHere","CMD Prompt Here PowerToy (Uninstall only)",,
"UDRTSS114","Microsoft .NET Framework 3.5 SP1","Microsoft .NET Framework 3.5 SP1","Microsoft Corporation",
"UDRTSS114","Microsoft .NET Framework 4 Client Profile","Microsoft .NET Framework 4 Client Profile","Microsoft Corporation","4.0.30319"
"UDRTSS114","Microsoft .NET Framework 4 Extended","Microsoft .NET Framework 4 Extended","Microsoft Corporation","4.0.30319"
"UDRTSS114","Microsoft Help Viewer 1.1","Microsoft Help Viewer 1.1","Microsoft Corporation","1.1.40219"
"UDRTSS114","Microsoft SQL Server 11","Microsoft SQL Server 2012 (64-bit)",,
"UDRTSS114","Microsoft SQL Server SQLServer2012","Microsoft SQL Server 2012 (64-bit)","Microsoft Corporation",
"UDRTSS114","Microsoft Visual J# 2.0 Redistributable Package - SE (x64)","Microsoft Visual J# 2.0 Redistributable Package - SE (x64)","Microsoft Corporation",
"UDRTSS114","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft Corporation","10.0.30319"
"UDRTSS114","PowerShellHere","PowerShell Prompt Here PowerToy for Windows PowerShell v1.0 (Remove only)",,
"UDRTSS114","Veritas NetBackup Client","Veritas NetBackup Client","Symantec Corporation","6.5.0"
"UDRTSS114","{05751C5A-29E0-494E-A2C6-3229B196D23B}","XOM ORC","ExxonMobil SETS LSC","1.00.0000"
"UDRTSS114","{071c9b48-7c32-4621-a0ac-3f809523288f}","Microsoft Visual C++ 2005 Redistributable (x64)","Microsoft Corporation","8.0.56336"
"UDRTSS114","{0E8670B8-3965-4930-ADA6-570348B67153}","Microsoft SQL Server 2012 Transact-SQL ScriptDom ","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{1D411379-9CE0-4B13-A19B-72D3222DD620}","SQL Server 2012 Common Files","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{1D8E6291-B0D5-35EC-8441-6616F567A0F7}","Microsoft Visual C++ Redistributable 2010 SP1 (x64)","ExxonMobil","10.0.40219"
"UDRTSS114","{202AAF1F-69AA-442A-B59F-6B54B1AD07C6}","SQL Server 2012 Common Files","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{26A24AE4-039D-4CA4-87B4-2F86416030FF}","Java Runtime Environment (64-bit) 6.0 Update 30","Oracle","6.0.300"
"UDRTSS114","{49D665A2-4C2A-476E-9AB8-FCC425F526FC}","Microsoft SQL Server 2012 Native Client ","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{4E872557-9318-4129-80E0-87C49DA82295}","ActiveX for MOVEit DMZ 7.10","IPSWITCH","7.10"
"UDRTSS114","{5C75DA6D-F5E3-4D4B-A381-B52B8CA5B1CF}","Symantec Endpoint Protection","Symantec Corporation","11.0.7000.975"
"UDRTSS114","{5DDC2234-4B37-45BC-AD33-41F1469B4D83}","Microsoft SQL Server 2012 Setup (English)","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}","Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","Microsoft Corporation","9.0.30729.6161"
"UDRTSS114","{648D3C6F-E33E-4A1B-BB16-01509F48FB8F}","VMware Tools","VMware, Inc.","9.0.5.21789"
"UDRTSS114","{656E214E-B73F-458C-AD64-ED316F008207}","SQL Server 2012 BI Development Studio","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{662014D2-0450-37ED-ABAE-157C88127BEB}","Visual Studio 2010 Prerequisites - English","Microsoft Corporation","10.0.40219"
"UDRTSS114","{6CC848C5-DE4D-49F3-A1D3-3DE209B3E688}","Gemalto Access Client (x64) 5.5","Gemalto","5.5"
"UDRTSS114","{75ACABC2-ED30-4E70-AB16-B5D980787DD5}","Sysprep Pack","ExxonMobil","1.00.0000"
"UDRTSS114","{786970C5-E6F6-4A41-B238-AE25D4B91EEA}","Microsoft Monitoring Agent","Microsoft Corporation","7.1.10184.0"
"UDRTSS114","{7BBC85C8-A53D-4E41-9477-2B0F76543808}","BACS MAC Changer","ExxonMobil","1.00.0000"
"UDRTSS114","{7DFA8779-CB4B-40A7-BCBC-06AFA6B29DA5}","XOM Toolset","ExxonMobil","1.00.0000"
"UDRTSS114","{83E954A5-4BD0-4C18-BDC6-63BB4AA23EFA}","Veritas NetBackup Client","Symantec Corporation","6.5.0"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}","Microsoft .NET Framework 4 Extended","Microsoft Corporation","4.0.30319"
"UDRTSS114","{90140000-002A-0000-1000-0000000FF1CE}","Microsoft Office Office 64-bit Components 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-002A-0409-1000-0000000FF1CE}","Microsoft Office Shared 64-bit MUI (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-0116-0409-1000-0000000FF1CE}","Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{A007BD05-ECFD-4F64-89F6-7E95F91F0DFB}","Microsoft SQL Server 2012 Data-Tier App Framework ","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{A1C9093D-CD66-4B0B-B890-4DE5E2EC5428}","Veritas NetBackup 6.5.4 (6.5 Release Update 4)","Symantec Corporation","4000.0000"
"UDRTSS114","{A85634C1-370D-4A35-A872-8337942A570B}","Citrix XenApp 5.0","Citrix Systems, Inc.","5.0.0.0"
"UDRTSS114","{B0A5A6EE-F8BA-48B1-BB32-BAC17E96C2B4}","Microsoft Visual J# 2.0 Redistributable Package - SE (x64)","Microsoft Corporation","2.0.50728"
"UDRTSS114","{B3C8200C-9F0B-4D12-9498-00572F87B049}","Microsoft Application Virtualization Client for Remote Desktop Services","Microsoft Corporation","4.6.2.24020"
"UDRTSS114","{B40EE88B-400A-4266-A17B-E3DE64E94431}","Microsoft SQL Server 2008 Setup Support Files ","Microsoft Corporation","10.1.2731.0"
"UDRTSS114","{BD430C50-784F-32CD-87E7-A8C47EE6107F}","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft Corporation","10.0.30322"
"UDRTSS114","{BEB0F91E-F2EA-48A1-B938-7857ABF2A93D}","Microsoft SQL Server 2012 Transact-SQL Compiler Service ","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{C7D02CC3-4EA6-482D-8973-3F17D87F3EB9}","Spike Active X Control 1.0.0.19","ExxonMobil","1.0.0.19"
"UDRTSS114","{CC8B009A-98C9-497F-99AF-CEBE35D8C0CF}","Microsoft SQL Server 2012 T-SQL Language Service ","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{CE2CDD62-0124-36CA-84D3-9F4DCF5C5BD9}","Microsoft .NET Framework 3.5 SP1","Microsoft Corporation","3.5.30729"
"UDRTSS114","{D307B5CF-D1F0-48A4-8DA3-54765F535208}","SQL Server 2012 SQL Data Quality Common","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{D57B88AD-0120-4958-8626-758A4EBEC799}","Citrix EdgeSight for XenApp Agent 5.3 x64","Citrix Systems, Inc.","5.3.4139.3"
"UDRTSS114","{DD19981F-FBBF-46BD-92F5-94951BD717C1}","AutoLoad Scripts","ExxonMobil","1.00.0000"
"UDRTSS114","{DE81CA12-BA88-4D4F-BAF2-12DD94A9EF35}","Microsoft SQL Server 2008 R2 ADOMD.NET","Microsoft Corporation","10.50.1600.1"
"UDRTSS114","{E5748D30-7E6D-3A8E-BFE6-C1D02C6DDABB}","Microsoft Help Viewer 1.1","Microsoft Corporation","1.1.40219"
"UDRTSS114","{EE1B54D1-BFBC-4C19-8D66-E0AF3E967896}","SQL Server 2012 BI Development Studio","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{F1949145-EB64-4DE7-9D81-E6D27937146C}","Microsoft System CLR Types for SQL Server 2012 (x64)","Microsoft Corporation","11.0.2100.60"
"UDRTSS114","{F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}","Microsoft .NET Framework 4 Client Profile","Microsoft Corporation","4.0.30319"
"UDRTSS114","{FA0A244E-F3C2-4589-B42A-3D522DE79A42}","Microsoft SQL Server 2012 Management Objects  (x64)","Microsoft Corporation","11.0.2100.60"
"UDRTSS115","CmdHere","CMD Prompt Here PowerToy (Uninstall only)",,
"UDRTSS115","DWG TrueView 2014","Autodesk DWG TrueView 2014","Autodesk","19.1.18.0"
"UDRTSS115","Microsoft .NET Framework 3.5 SP1","Microsoft .NET Framework 3.5 SP1","Microsoft Corporation",
"UDRTSS115","Microsoft .NET Framework 4 Client Profile","Microsoft .NET Framework 4 Client Profile","Microsoft Corporation","4.0.30319"
"UDRTSS115","Microsoft .NET Framework 4 Extended","Microsoft .NET Framework 4 Extended","Microsoft Corporation","4.0.30319"
"UDRTSS115","Microsoft Help Viewer 1.1","Microsoft Help Viewer 1.1","Microsoft Corporation","1.1.40219"
"UDRTSS115","Microsoft SQL Server 11","Microsoft SQL Server 2012 (64-bit)",,
"UDRTSS115","Microsoft SQL Server SQLServer2012","Microsoft SQL Server 2012 (64-bit)","Microsoft Corporation",
