"ComputerName","AppID","AppName","Publisher","Version"
"DACTSS620","Access","Microsoft Office Access 2007","Microsoft Corporation","12.0.6425.1000"
"DACTSS620","Autodesk DWF Viewer (English) 7.0b","Autodesk DWF Viewer (English) 7.0b",,"7.0.1"
"DACTSS620","Citrix AMC Uninstaller","Citrix Delivery Services Console - Framework","Citrix Systems, Inc.","5.0.2.0"
"DACTSS620","ie8","Windows Internet Explorer 8","Microsoft Corporation","20090308.140743"
"DACTSS620","KB2115168","Security Update for Windows Server 2003 (KB2115168)","Microsoft Corporation","1"
"DACTSS620","KB2121546","Security Update for Windows Server 2003 (KB2121546)","Microsoft Corporation","1"
"DACTSS620","KB2160329","Security Update for Windows Server 2003 (KB2160329)","Microsoft Corporation","1"
"DACTSS620","KB2207559","Security Update for Windows Server 2003 (KB2207559)","Microsoft Corporation","1"
"DACTSS620","KB2229593","Security Update for Windows Server 2003 (KB2229593)","Microsoft Corporation","1"
"DACTSS620","KB2259922","Security Update for Windows Server 2003 (KB2259922)","Microsoft Corporation","1"
"DACTSS620","KB2286198","Security Update for Windows Server 2003 (KB2286198)","Microsoft Corporation","1"
"DACTSS620","KB2296011","Security Update for Windows Server 2003 (KB2296011)","Microsoft Corporation","1"
"DACTSS620","KB2296199","Security Update for Windows Server 2003 (KB2296199)","Microsoft Corporation","1"
"DACTSS620","KB2347290","Security Update for Windows Server 2003 (KB2347290)","Microsoft Corporation","1"
"DACTSS620","KB2360937","Security Update for Windows Server 2003 (KB2360937)","Microsoft Corporation","1"
"DACTSS620","KB2378111","Security Update for Windows Server 2003 (KB2378111)","Microsoft Corporation","1"
"DACTSS620","KB2387149","Security Update for Windows Server 2003 (KB2387149)","Microsoft Corporation","1"
"DACTSS620","KB2393802","Security Update for Windows Server 2003 (KB2393802)","Microsoft Corporation","1"
"DACTSS620","KB2412687","Security Update for Windows Server 2003 (KB2412687)","Microsoft Corporation","1"
"DACTSS620","KB2416400","Security Update for Windows Server 2003 (KB2416400)","Microsoft Corporation","1"
"DACTSS620","KB2419635","Security Update for Windows Server 2003 (KB2419635)","Microsoft Corporation","1"
