Server Name,EH,CCM Compliance,CCM Failure,Operating System,Service Pack,Architecture,Subnet ID,AD Site Code,Client Version,Management Point,CCM Site,Cache Size,Service Started,Service State,Service Status,Actions Count,Client Actions
DALVMSA10,0,True,"",Windows Server 2008,Service Pack 2,64-bit,131.126.124.0,DAL,4.00.6487.2000,dalcmpv70.na.xom.com,USP,5120,True,Running,OK,11,"Software Metering Usage Report Cycle
{00000000-0000-0000-0000-000000000106}
Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Updates Source Scan Cycle
{00000000-0000-0000-0000-000000000113}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}
Hardware Inventory Collection Cycle
{00000000-0000-0000-0000-000000000101}
Software Inventory Collection Cycle
{00000000-0000-0000-0000-000000000102}
Software Updates Assignments Evaluation Cycle
{00000000-0000-0000-0000-000000000108}
Peer DP Maintenance Task
{00000000-0000-0000-0000-000000000109}
Discovery Data Collection Cycle
{00000000-0000-0000-0000-000000000103}
MSI Product Source Update Cycle
{00000000-0000-0000-0000-000000000107}
Standard File Collection Cycle
{00000000-0000-0000-0000-000000000104}"
DALO11,0,True,"",Windows Server 2003,Service Pack 2,32-bit,131.126.124.0,DAL,4.00.6487.2000,dalcmpv70.na.xom.com,USP,5120,True,Running,OK,11,"Software Inventory Collection Cycle
{00000000-0000-0000-0000-000000000102}
MSI Product Source Update Cycle
{00000000-0000-0000-0000-000000000107}
Hardware Inventory Collection Cycle
{00000000-0000-0000-0000-000000000101}
Software Updates Assignments Evaluation Cycle
{00000000-0000-0000-0000-000000000108}
Standard File Collection Cycle
{00000000-0000-0000-0000-000000000104}
Updates Source Scan Cycle
{00000000-0000-0000-0000-000000000113}
Discovery Data Collection Cycle
{00000000-0000-0000-0000-000000000103}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}
Peer DP Maintenance Task
{00000000-0000-0000-0000-000000000109}
Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Software Metering Usage Report Cycle
{00000000-0000-0000-0000-000000000106}"
VOBXCM01,0,True,"",Windows Server 2003,Service Pack 2,32-bit,172.31.4.0,MEL,4.00.6487.2000,kulcmpv70.ap.xom.com,ASP,5120,True,Running,OK,11,"Software Inventory Collection Cycle
{00000000-0000-0000-0000-000000000102}
MSI Product Source Update Cycle
{00000000-0000-0000-0000-000000000107}
Hardware Inventory Collection Cycle
{00000000-0000-0000-0000-000000000101}
Software Updates Assignments Evaluation Cycle
{00000000-0000-0000-0000-000000000108}
Standard File Collection Cycle
{00000000-0000-0000-0000-000000000104}
Updates Source Scan Cycle
{00000000-0000-0000-0000-000000000113}
Discovery Data Collection Cycle
{00000000-0000-0000-0000-000000000103}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}
Peer DP Maintenance Task
{00000000-0000-0000-0000-000000000109}
Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Software Metering Usage Report Cycle
{00000000-0000-0000-0000-000000000106}"
HOEZIM02,Error: CCMExec Service Service Unavailable,,,,,,,,,,,,,,,,
KLMNDH03,0,True,"",Windows Server 2003,Service Pack 2,32-bit,172.19.1.0,KUL,4.00.6487.2000,kulcmpv70.ap.xom.com,ASP,3784,True,Running,OK,11,"Software Inventory Collection Cycle
{00000000-0000-0000-0000-000000000102}
MSI Product Source Update Cycle
{00000000-0000-0000-0000-000000000107}
Hardware Inventory Collection Cycle
{00000000-0000-0000-0000-000000000101}
Software Updates Assignments Evaluation Cycle
{00000000-0000-0000-0000-000000000108}
Standard File Collection Cycle
{00000000-0000-0000-0000-000000000104}
Updates Source Scan Cycle
{00000000-0000-0000-0000-000000000113}
Discovery Data Collection Cycle
{00000000-0000-0000-0000-000000000103}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}
Peer DP Maintenance Task
{00000000-0000-0000-0000-000000000109}
Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Software Metering Usage Report Cycle
{00000000-0000-0000-0000-000000000106}"
DALP02,0,True,"",Windows Server 2008,Service Pack 2,64-bit,131.126.124.0,DAL,4.00.6487.2000,dalcmpv70.na.xom.com,USP,5734,True,Running,OK,11,"Software Metering Usage Report Cycle
{00000000-0000-0000-0000-000000000106}
Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Updates Source Scan Cycle
{00000000-0000-0000-0000-000000000113}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}
Hardware Inventory Collection Cycle
{00000000-0000-0000-0000-000000000101}
Software Inventory Collection Cycle
{00000000-0000-0000-0000-000000000102}
Software Updates Assignments Evaluation Cycle
{00000000-0000-0000-0000-000000000108}
Peer DP Maintenance Task
{00000000-0000-0000-0000-000000000109}
Discovery Data Collection Cycle
{00000000-0000-0000-0000-000000000103}
MSI Product Source Update Cycle
{00000000-0000-0000-0000-000000000107}
Standard File Collection Cycle
{00000000-0000-0000-0000-000000000104}"
HOEWAP10,0,False,"CCM Client Failed",Windows Server 2003,Service Pack 2,32-bit,10.215.156.0,HOE,4.00.6487.2000,hoecmpv70.na.xom.com,US2,3784,False,Stopped,OK,11,"Software Inventory Collection Cycle
{00000000-0000-0000-0000-000000000102}
MSI Product Source Update Cycle
{00000000-0000-0000-0000-000000000107}
Hardware Inventory Collection Cycle
{00000000-0000-0000-0000-000000000101}
Software Updates Assignments Evaluation Cycle
{00000000-0000-0000-0000-000000000108}
Standard File Collection Cycle
{00000000-0000-0000-0000-000000000104}
Updates Source Scan Cycle
{00000000-0000-0000-0000-000000000113}
Discovery Data Collection Cycle
{00000000-0000-0000-0000-000000000103}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}
Peer DP Maintenance Task
{00000000-0000-0000-0000-000000000109}
Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Software Metering Usage Report Cycle
{00000000-0000-0000-0000-000000000106}"
GA2NBK01,Error: Server Unreachable,,,,,,,,,,,,,,,,
DARDAT03,0,False,"AD Site Unassigned
MP Unassigned
CCM Site Unassigned
Actions Missing",Windows Server 2008,Service Pack 1,64-bit,142.38.83.192,Unknown,4.00.6487.2000,Unknown,Unknown,5734,True,Running,OK,2,"Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}"
SARDAT05,0,True,"",Windows Server 2008,Service Pack 1,64-bit,142.38.197.128,SAR,4.00.6487.2000,cgycmpv70.na.xom.com,CAP,5734,True,Running,OK,11,"Software Metering Usage Report Cycle
{00000000-0000-0000-0000-000000000106}
Request & Evaluate Machine Policy
{8EF4D77C-8A23-45c8-BEC3-630827704F51}
Updates Source Scan Cycle
{00000000-0000-0000-0000-000000000113}
Request & Evaluate User Policy
{3A88A2F3-0C39-45fa-8959-81F21BF500CE}
Hardware Inventory Collection Cycle
{00000000-0000-0000-0000-000000000101}
Software Inventory Collection Cycle
{00000000-0000-0000-0000-000000000102}
Software Updates Assignments Evaluation Cycle
{00000000-0000-0000-0000-000000000108}
Peer DP Maintenance Task
{00000000-0000-0000-0000-000000000109}
Discovery Data Collection Cycle
{00000000-0000-0000-0000-000000000103}
MSI Product Source Update Cycle
{00000000-0000-0000-0000-000000000107}
Standard File Collection Cycle
{00000000-0000-0000-0000-000000000104}"
