Server Name,EH,799 Found,799 Message,799 Last Date,799 Offset,799 TimeWritten
ABBTSS001 ,Error: WMI Service root\cimv2 -2147217394 Invalid namespace ,,,,,
ABBTSS002,0,True,SCCM client health check.,4/10/2014 9:05:00 PM,1,20140410210500.000000-180
ABBTSS050,0,True,SCCM client health check.,4/7/2014 4:05:03 AM,4,20140407040503.000000-000
ABUTSS001,0,True,SCCM client health check.,4/10/2014 9:05:02 PM,1,20140410210502.000000+240
ABUTSS050,0,True,SCCM client health check.,4/6/2014 9:05:03 PM,5,20140406210503.000000-000
ABUTSS100,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+240
AKOTSS101,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000-240
ANCTSS001,0,True,SCCM client health check.,4/10/2014 9:05:00 PM,1,20140410210500.000000-480
ANTTSS100,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+120
ANTTSS101,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+120
ANTTSS102,0,False,,,,
ANTTSS103,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+120
ANTTSS104,0,True,SCCM client health check.,4/10/2014 9:05:00 PM,1,20140410210500.000000+120
ANTTSS105,0,True,SCCM client health check.,4/7/2014 6:05:00 AM,4,20140407060500.000000-000
APPTSS100,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+120
APPTSS101,0,True,SCCM client health check.,4/10/2014 9:05:02 PM,1,20140410210502.000000+120
ATRTSS001,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+300
AUGTSS100,0,False,,,,
AUGTSS101,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+120
BDPTSS001,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+120
BDPTSS002,0,True,SCCM client health check.,4/10/2014 9:05:00 PM,1,20140410210500.000000+120
BDPTSS003,0,True,SCCM client health check.,4/10/2014 9:05:00 PM,1,20140410210500.000000+120
BDPTSS100,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+120
BIRTSS001,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000-360
BIRTSS100,0,False,,,,
BKKTSS001,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+420
BKKTSS050,0,True,SCCM client health check.,4/6/2014 6:05:02 PM,5,20140406180502.000000-000
BKKTSS100,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+420
BKKTSS101,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000+420
BLVTSS001,Error: Server Unreachable,,,,,
BMTTSS001,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000-300
BMTTSS100,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000-300
BMTTSS101,0,True,SCCM client health check.,4/10/2014 9:05:00 PM,1,20140410210500.000000-300
BOGTSS001,0,True,SCCM client health check.,4/10/2014 9:05:01 PM,1,20140410210501.000000-300
