PostalCode,PhoneAreaCode
54298,0651
78267,07774
52062,0241
52064,0241
52066,0241
52068,0241
52070,0241
52072,0241
52074,0241
52076,0241
52078,0241
52080,0241
73430,07361
73431,07361
73432,07361
73433,07361
73434,07361
65326,06120
25560,04892
19322,038791
38871,039452
06543,034779
91183,09178
01623,035246
93326,09443
55767,06782
91720,09175
74232,07062
06628,034466
99713,036020
06888,03491
73453,07366
69518,06207
97355,09383
55568,06753
88147,08380
83552,08075
77855,07841
28832,04202
38312,05334
94250,09929
88480,07392
56729,02656
55767,06782
24239,04340
25917,04662
39343,039202
16259,033451
17213,039932
25842,04672
73099,07166
37139,05506
98646,03685
29352,05085
73486,07963
85111,08421
01561,03522
91325,09195
74740,06291
82276,08146
91587,09865
86477,08294
86559,08258
53518,02691
67742,06753
38528,05304
21365,04131
31079,05060
06408,03471
38838,039428
73479,07961
83364,08666
84166,08707
84166,08707
18211,038203
08626,037423
25572,04825
31855,05154
71563,07144
86444,08207
27257,04247
54689,06524
56355,06772
21684,04141
25560,04892
74858,06262
84168,08744
48683,02561
27367,04269
17375,039775
29693,05164
24811,04353
59227,02382
59229,02382
21702,04166
04916,035362
06313,034772
98553,036873
38489,039007
34292,05609
24996,04637
29353,05145
31708,05722
94345,09429
94527,09938
74744,06296
96482,09561
95491,09202
83739,08025
53506,02643
23623,04525
22926,04102
14974,03378
15864,033677
16356,030
18320,038225
25853,04846
25885,04847
25885,04626
94529,08544
86551,08251
83565,08092
83329,08681
73101,07164
86479,08284
78733,07422
88317,07565
72631,07127
73773,0711
83329,08681
94501,08543
97491,09526
71134,07034
84089,08753
56459,02663
86447,08237
83404,08654
89344,09075
94330,09421
79677,07673
84137,08741
88319,07565
87648,08343
09326,037382
06385,034909
99100,0361
99100,0361
83544,08076
79774,07753
93449,09978
07646,036692
25767,04835
73095,07161
06268,034632
06279,034774
76857,06345
57614,02684
16818,033925
19260,038848
97320,09321
66871,06384
55234,06731
67308,06355
98529,03681
98529,03681
17291,039862
23909,04541
72458,07432
72459,07432
72461,07432
52457,02464
94501,08543
78554,07424
86733,09085
91793,09146
86480,08282
56859,06542
73553,07172
31061,05181
91236,09157
49594,05464
56828,02678
27432,04765
53347,0228
39638,03907
31191,05126
38551,05373
73453,07975
36211,05664
39398,039408
56332,02605
99310,036200
25938,04681
55758,06786
07426,036730
35108,06407
35469,06452
56370,06486
55595,06756
78476,07533
39343,039400
90584,09176
98701,036781
85391,08166
88422,07374
82239,08141
86695,08273
88348,07582
89604,07391
99713,036020
71573,07191
01983,035753
06507,039487
06542,034652
25821,04671
57610,02681
93449,09975
31079,05060
46519,02802
57642,02662
99195,036204
72275,07444
53547,02638
56237,02601
64665,06257
52477,02404
54668,06568
57518,02741
67821,06362
36304,06631
67577,06249
06425,034692
24848,04624
14822,033845
14656,033232
18233,038294
24791,04338
15526,033631
19303,038759
18236,038297
18299,038459
19288,038751
16928,03395
18581,038301
16837,033923
15518,033607
15306,033602
19069,03867
23881,04542
19412,038483
23992,038429
17217,03962
16827,03391
17192,039934
17214,039932
15859,033678
17129,039991
15328,033472
19230,038859
15913,03546
73776,07153
15320,033474
76726,07274
39387,039407
03229,035434
67482,06327
71155,07031
72655,07127
84032,08704
90518,09187
18573,038306
93087,09453
58762,02352
53505,02643
04931,035342
38707,05328
04828,03425
55585,06708
33184,05255
01773,035056
07768,036424
48341,02505
07338,036737
38889,039456
97901,09392
04600,03447
98553,03681
65624,06432
01855,035022
92540,09675
96146,09545
98701,036781
07356,036643
66885,06381
99991,036022
17091,039600
18236,038292
39343,039052
16244,033363
17209,039924
24340,04351
54636,06527
54655,06594
67677,06303
24161,0431
24161,0431
18556,038391
57610,02681
66903,06386
23730,04561
96264,09572
83352,08621
29575,05807
25335,04121
86450,08295
18445,038323
72657,07127
06642,034465
29416,039035
63674,06047
86972,08861
89281,08337
92665,09602
72213,07453
93177,09408
17087,03961
39171,039205
39596,039394
56288,06762
06543,034742
98587,036847
97237,09307
14913,03372
84169,08705
15320,033476
16818,033925
16278,033338
16259,033451
16259,033369
82278,08202
88499,07371
89174,07340
89605,07391
91788,09143
75382,07051
66484,06338
71566,07183
16247,033361
06800,03494
17179,039973
04626,034491
16278,033337
15345,033438
56858,06543
67317,06356
16259,033452
16775,03306
68804,06205
16259,033456
93336,09446
39624,039080
09648,03727
85250,08254
19294,038755
84503,08671
16259,033457
54518,06571
67122,06236
15910,035473
54636,06527
88361,07584
56858,06545
17166,03996
16798,033093
16259,033474
87452,08373
17375,039773
55469,06761
17379,039777
24214,0431
16259,033457
25486,04193
63755,06023
55232,06731
66849,06371
38350,05355
16766,033055
86854,08241
92224,09621
21385,04132
83123,08075
86735,09008
39439,039262
54673,06564
54675,06566
07407,03672
72119,07073
99974,03601
90614,09127
22949,04532
92260,09628
35287,06429
63916,09373
84539,08636
39387,039407
06317,034601
73340,07331
09439,037209
88279,07520
82346,08152
36452,036964
38836,039422
27446,04284
56626,02632
49832,05902
99189,036201
83364,08662
74918,07265
35719,06464
99338,036207
83454,08656
83565,08656
16278,03331
39326,039363
06179,0345
83739,08064
56584,02639
17219,039921
17389,03971
49577,05462
18239,038207
09456,03733
06925,035385
01994,035754
06308,034772
83368,08621
76855,06346
59609,02947
91522,0981
56729,02656
82387,08856
36326,06692
53533,02693
85646,08121
31552,05043
26689,04489
38486,039001
21641,04167
86974,08869
99192,036202
87742,08261
99510,03644
21279,04168
21279,04165
27616,04747
25482,04101
55437,06725
99768,036331
74597,07967
77767,07805
83376,08667
56769,02657
91722,09822
53533,02693
17291,039855
39619,039384
54518,06575
06369,034975
15518,033635
37318,036081
14827,033849
03253,035322
86561,08252
56729,02655
88260,07566
55595,06706
55496,06761
37627,05532
25767,04835
83374,08669
25860,04846
55288,06734
24616,04324
21769,04773
93471,09945
39596,039321
24399,04642
53547,02638
07330,036731
59755,02931
59757,02931
59759,02931
59821,02931
59823,02931
93473,09977
01477,035200
06917,03537
07318,036736
07952,037431
56244,02666
04916,03535
99310,03628
06333,034785
97450,09363
94424,08723
24634,04324
23948,038825
93474,09943
09326,037382
66849,06371
06556,03466
21380,04153
56337,02603
04886,034222
95659,09233
54687,06550
53567,02683
55758,06786
89522,07321
98574,03683
86663,0906
55758,06786
94347,09961
63739,06021
63741,06021
63743,06021
99958,03603
07426,036738
83229,08052
84544,08638
67753,06304
83739,08064
24326,04526
59387,02593
24358,04353
26871,04962
98634,036966
06449,03473
85609,089
06317,034774
21271,04183
27330,04253
71546,07191
99880,03622
21388,04132
38822,039427
71679,07141
55459,06727
97959,06294
89176,07345
35614,06441
85617,08092
93449,09972
57627,02688
06901,034921
38822,039427
57439,02722
56370,02604
84091,08753
85395,08168
88448,07357
03172,035692
94348,09429
57629,02662
39443,039266
83364,08666
76474,07245
79280,0761
83364,0861
83546,08073
84072,08752
97239,09335
97633,09761
04838,034244
56766,02676
08280,03771
07318,03671
56357,06771
55569,06754
71549,07191
08209,03744
09392,03721
91275,09643
94530,09901
99518,036461
31749,05753
93089,09454
82282,08145
91347,09198
79424,07631
86150,0821
86152,0821
86153,0821
86154,0821
86156,0821
86157,0821
86159,0821
86161,0821
86163,0821
86165,0821
86167,0821
86169,0821
86179,0821
86199,0821
06308,03476
32832,05237
09573,037291
31553,05725
86736,09832
74564,07951
24613,04873
99765,036333
88326,07525
65582,06432
39615,039395
07955,036626
21521,04104
97717,09704
97773,09356
91589,09804
91086,09132
26603,04941
26605,04941
26607,04941
24975,04634
39393,039404
94532,09903
04849,034243
25548,04822
54597,06552
54664,06562
25927,04664
25715,04855
06922,035386
27729,04748
85653,08095
54441,06581
86482,0821
99198,0361
99198,0361
18586,038303
06408,03471
56729,02656
86674,08276
85107,08453
19309,038758
06388,03496
03246,035324
23992,038429
39596,039388
64832,06073
87727,08333
83547,08071
17237,039829
23992,038429
04828,034383
83364,08666
83739,08025
93090,09403
55422,06743
57610,02681
96528,036766
89429,09077
89431,07325
84428,08086
71522,07191
93077,09405
83043,08061
95680,09232
34454,05691
82435,08845
27624,04745
79415,07635
48455,05922
76887,06343
99438,036458
57319,02751
95460,09273
56864,02674
29549,05821
06647,034465
84364,08563
07422,036741
97708,09708
29389,05824
08648,037438
24576,04192
53498,02633
97769,09741
88422,07582
65520,06434
98663,036871
73342,07334
18209,038203
33014,05253
04849,034243
67098,06322
06231,03462
78073,07706
31707,05722
08645,037437
56130,02603
34308,05624
35080,02776
83093,08053
49152,05472
83075,08066
06567,034671
16259,03344
74177,07136
94072,08531
37581,05382
01816,035023
94086,08532
87730,08334
37539,05327
38667,05322
83670,08046
76332,07083
36251,06621
61348,06172
61350,06172
61352,06172
53604,02224
53557,02635
49186,05403
34385,05672
97688,0971
23996,038423
07639,036601
82433,08845
64732,06063
97631,09761
06628,034463
07586,036605
55543,0671
55545,0671
79189,07633
57334,02752
49196,05424
99947,03603
06246,034635
04651,034345
37431,05524
36448,036961
04924,035341
75378,07052
33175,05252
56470,02661
97980,07931
31848,05042
55583,06708
53902,02253
02953,035771
61231,06032
31542,05723
53474,02641
97616,09771
32545,05731
32547,05731
32549,05731
23843,04531
63619,06052
77740,07806
31812,05281
74906,07264
83435,08651
77776,07839
96476,09564
49214,05424
15526,033631
37441,05523
79713,07761
31162,05063
36364,06648
32105,05222
32107,05222
32108,05222
36433,03695
59505,02927
88348,07581
01814,035022
06905,034925
76669,07253
88427,07583
65307,06124
23611,0451
23795,04551
55566,06751
65812,06196
63628,06056
37242,05652
96231,09573
95138,09288
06507,039485
99518,036461
18334,038229
75385,07053
99955,036041
83646,08041
73337,07331
72574,07125
61118,06101
88339,07524
83707,08022
75323,07081
34537,05621
19336,038791
74206,07063
91438,09841
86825,08247
33181,02953
88410,07564
34596,05626
26160,04403
49635,05433
38271,05345
06493,039483
19258,038842
39624,039009
54657,06563
76530,07221
76532,07221
76534,07221
23619,0451
56291,06746
37534,05522
55576,06701
18209,038203
79410,07632
38836,039422
16775,03307
39579,039324
19209,038874
99706,03632
19348,038782
52499,02401
17326,039742
03130,035697
14778,033838
19089,03861
79353,07663
14715,033877
01983,035751
04895,035365
88441,07582
01816,035023
38459,05358
03249,035323
27245,05763
39171,039205
25569,04824
23845,04550
18211,038203
01819,035025
15898,033656
88255,0751
84171,08705
82065,089
85625,08093
72270,07442
91083,09133
88255,07502
87650,08340
14806,033841
23909,04541
49456,04446
23881,04542
87538,08328
85598,08106
54314,06587
65558,06432
54597,06553
31609,05022
78582,07424
06632,034464
72336,07433
21730,04753
18320,038225
89177,07340
06493,039483
39606,039328
99955,036041
79282,07634
99869,036255
99439,036452
19300,038752
19322,038791
73666,07153
26579,04939
58802,02375
86483,08281
88481,07347
96047,0951
96049,0951
96050,0951
96052,0951
14715,03385
69245,06223
38486,039000
19249,038855
19273,038844
17506,038353
19230,038859
18258,03844
66851,06371
56424,02602
23769,04372
01728,0351
31029,05182
16868,033979
19246,038851
16835,033933
54619,06559
19260,038848
19079,03868
76889,06343
93092,09401
39249,039298
36456,036961
14913,033748
21357,04131
55483,06543
55758,06784
66996,06391
66996,06391
27245,04273
21397,04137
23936,03841
73529,07165
03172,035691
16727,033052
01768,035054
09471,037347
78580,07466
16866,033972
25704,04832
23863,04532
25563,04822
17398,03971
24806,04335
21698,04164
24793,04392
22941,04532
25842,04672
23826,04558
24360,04358
25791,04836
24863,04627
19395,038735
39179,039203
25719,04857
24245,04302
25355,04123
95671,09635
39393,039402
23968,03841
14715,033876
19089,03863
23858,04533
01471,035207
06268,034771
21406,0451
49406,05442
32683,05263
24217,04344
22885,040
16775,033087
16845,03391
30890,05105
26676,04499
18314,038227
18209,038203
39343,039050
18356,038231
73566,07173
17089,039991
21357,04133
29576,05806
15837,033704
49453,05448
14913,033744
38476,05366
53534,02691
55606,06751
01994,035329
54578,06593
27432,04766
16352,033397
16818,033929
17139,03998
21483,04153
56220,02625
27211,04241
97654,09773
21493,04159
18230,038293
04838,034244
35088,06452
67271,06359
99625,03635
06917,03537
17328,039746
66484,06337
15377,033437
01561,03522
91460,09164
98617,036945
19372,038721
53534,02692
54673,06524
06632,034632
16775,033083
18246,038462
55774,06783
96148,09544
34225,0561
54538,06532
54636,06527
02625,03591
49844,05963
84092,08774
94137,08532
67808,06362
94252,09925
83457,08651
95444,0921
95445,0921
95447,0921
95448,0921
83735,08023
37308,036082
23816,04552
99976,036023
39343,039062
36179,06622
56132,02603
23923,038828
55234,06736
55608,06757
67827,06364
66894,06372
91572,09822
07426,036730
99428,03643
67595,06242
55234,06733
92699,09651
21643,04167
31699,05725
27243,04244
39393,039404
17194,039934
19300,038756
66701,06835
59269,02521
50181,02272
47551,02821
66885,06381
29355,05145
48361,02586
14547,033204
39596,039321
39343,039050
17258,039888
16259,033451
15518,033637
64743,06068
15926,03544
06425,034692
06198,034607
15848,03366
49832,05905
17111,03998
16766,033055
38489,039000
17111,03998
23919,04544
15868,033671
18510,038328
39356,039055
25850,04843
39606,039393
17498,038356
17179,039972
15864,033677
24321,04381
99326,03629
99947,036254
99326,03629
98631,036944
04720,034325
99625,03635
